"filename", "language", "JavaScript", "JavaScript React", "Less", "comment", "blank", "total"
"d:\web\open-experiment-client-master (2)\src\pages\user-information\index.jsx", "JavaScript React", 0, 241, 0, 16, 20, 277
"d:\web\open-experiment-client-master (2)\src\pages\user-information\model.js", "JavaScript", 17, 0, 0, 1, 2, 20
"d:\web\open-experiment-client-master (2)\src\pages\user-information\service.js", "JavaScript", 7, 0, 0, 0, 2, 9
"d:\web\open-experiment-client-master (2)\src\pages\user-information\style.less", "Less", 0, 0, 94, 1, 11, 106
"d:\web\open-experiment-client-master (2)\src\pages\user\login\_mock.js", "JavaScript", 28, 0, 0, 2, 5, 35
"d:\web\open-experiment-client-master (2)\src\pages\user\login\components\Login\LoginContext.jsx", "JavaScript React", 0, 3, 0, 0, 2, 5
"d:\web\open-experiment-client-master (2)\src\pages\user\login\components\Login\LoginItem.jsx", "JavaScript React", 0, 178, 0, 0, 31, 209
"d:\web\open-experiment-client-master (2)\src\pages\user\login\components\Login\LoginSubmit.jsx", "JavaScript React", 0, 14, 0, 0, 4, 18
"d:\web\open-experiment-client-master (2)\src\pages\user\login\components\Login\LoginTab.jsx", "JavaScript React", 0, 35, 0, 0, 10, 45
"d:\web\open-experiment-client-master (2)\src\pages\user\login\components\Login\index.jsx", "JavaScript React", 0, 131, 0, 0, 15, 146
"d:\web\open-experiment-client-master (2)\src\pages\user\login\components\Login\index.less", "Less", 0, 0, 44, 0, 10, 54
"d:\web\open-experiment-client-master (2)\src\pages\user\login\components\Login\map.jsx", "JavaScript React", 0, 91, 0, 0, 2, 93
"d:\web\open-experiment-client-master (2)\src\pages\user\login\index.jsx", "JavaScript React", 0, 180, 0, 7, 16, 203
"d:\web\open-experiment-client-master (2)\src\pages\user\login\locales\en-US.js", "JavaScript", 78, 0, 0, 0, 1, 79
"d:\web\open-experiment-client-master (2)\src\pages\user\login\locales\zh-CN.js", "JavaScript", 74, 0, 0, 0, 1, 75
"d:\web\open-experiment-client-master (2)\src\pages\user\login\locales\zh-TW.js", "JavaScript", 74, 0, 0, 0, 1, 75
"d:\web\open-experiment-client-master (2)\src\pages\user\login\model.js", "JavaScript", 71, 0, 0, 7, 8, 86
"d:\web\open-experiment-client-master (2)\src\pages\user\login\service.js", "JavaScript", 32, 0, 0, 1, 1, 34
"d:\web\open-experiment-client-master (2)\src\pages\user\login\style.less", "Less", 0, 0, 33, 0, 7, 40
"d:\web\open-experiment-client-master (2)\src\pages\user\login\utils\utils.js", "JavaScript", 11, 0, 0, 0, 2, 13
"d:\web\open-experiment-client-master (2)\src\pages\user\register-result\index.jsx", "JavaScript React", 0, 26, 0, 0, 4, 30
"d:\web\open-experiment-client-master (2)\src\pages\user\register-result\locales\en-US.js", "JavaScript", 23, 0, 0, 0, 1, 24
"d:\web\open-experiment-client-master (2)\src\pages\user\register-result\locales\zh-CN.js", "JavaScript", 22, 0, 0, 0, 1, 23
"d:\web\open-experiment-client-master (2)\src\pages\user\register-result\locales\zh-TW.js", "JavaScript", 22, 0, 0, 0, 1, 23
"d:\web\open-experiment-client-master (2)\src\pages\user\register-result\style.less", "Less", 0, 0, 23, 0, 1, 24
"d:\web\open-experiment-client-master (2)\src\pages\user\register\_mock.js", "JavaScript", 8, 0, 0, 0, 1, 9
"d:\web\open-experiment-client-master (2)\src\pages\user\register\index.jsx", "JavaScript React", 0, 305, 0, 0, 27, 332
"d:\web\open-experiment-client-master (2)\src\pages\user\register\locales\en-US.js", "JavaScript", 78, 0, 0, 0, 1, 79
"d:\web\open-experiment-client-master (2)\src\pages\user\register\locales\zh-CN.js", "JavaScript", 74, 0, 0, 0, 1, 75
"d:\web\open-experiment-client-master (2)\src\pages\user\register\locales\zh-TW.js", "JavaScript", 74, 0, 0, 0, 1, 75
"d:\web\open-experiment-client-master (2)\src\pages\user\register\model.js", "JavaScript", 22, 0, 0, 0, 2, 24
"d:\web\open-experiment-client-master (2)\src\pages\user\register\service.js", "JavaScript", 7, 0, 0, 0, 2, 9
"d:\web\open-experiment-client-master (2)\src\pages\user\register\style.less", "Less", 0, 0, 46, 0, 12, 58
"Total", "-", 722, 1204, 240, 35, 206, 2407